,risky,moderate,conservative
10,0.5221146312797634,0.1392577775886725,0.060510652888511485
25,0.6929931264074443,0.24720346574498575,0.08125953227302346
50,0.7920866631011326,0.32888830145690606,0.14830872174237028
100,0.835544464304926,0.37763534862515385,0.1902098773715305
